,Hostname,Letter,Earth Radii,Earth Masses,Density (g/m^3),Semi-Major Axis,Orbital Period,Eccentricity,Spectral Type,Star Radius,Star Temperature,Star Mass,Planet Type
0,Kepler-11,c,3.15,13.5,,0.106,13.02502,0.0,,1.1,5680.0,0.95,icy
1,Kepler-11,f,2.61,2.3,,0.25,46.68876,0.0,,1.1,5680.0,0.95,rocky
2,OGLE-TR-10,b,14.011,197.046,0.4,0.0434,3.101278,,,1.17,5950.0,1.14,gassy
3,HD 210702,b,,626.1251,,1.2,354.29,0.106,,,,1.85,gassy
4,BD-08 2823,b,,14.4,,0.056,5.6,0.15,K3 V,,4746.0,0.74,icy
5,BD-08 2823,c,,104.0,,0.68,237.6,0.19,K3 V,,4746.0,0.74,gassy
6,HR 8799,c,13.0,3000.0,,38.0,69000.0,,A5 V,,,1.5,gassy
7,HD 110014,b,,3524.59,,2.14,835.477,0.462,K2 III,20.9,4445.0,2.17,gassy
8,Kepler-33,d,5.5,,,0.166,21.775754,0.0,,1.82,5904.0,1.29,icy
9,HIP 5158,b,,451.0,,0.89,345.72,0.52,,,4962.0,0.78,gassy
10,HD 44219,b,,184.33,,1.19,472.3,0.61,G2 V,1.32,5752.0,1.0,gassy
11,HD 6718,b,,496.0,,3.56,2496.0,0.1,,1.02,5746.0,0.96,gassy
12,HD 156846,b,,3359.32,,1.096,359.5546,0.84785,,2.12,5969.0,1.35,gassy
13,HD 132563,b,,473.547,,2.62,1544.0,0.22,,1.3,6289.0,1.23,gassy
14,HD 137388,b,,70.8731,,0.89,330.0,0.36,,0.82,5240.0,0.86,gassy
15,HD 85512,b,,3.6,,0.26,58.43,0.11,K5 V,,4715.0,0.69,rocky
16,HD 23127,b,,476.7,,2.4,1214.0,0.44,G2 V,,,1.13,gassy
17,HD 100655,b,,540.3,,0.76,157.57,0.085,G9 III,9.3,4861.0,2.4,gassy
18,kap CrB,b,,572.094,,2.7,1208.0,0.146,,4.71,4970.0,1.8,gassy
19,Kepler-24,c,2.8,508.5,,0.106,12.3335,,,1.07,5800.0,1.03,icy
20,GJ 667 C,b,,5.68,,0.049,7.20066,0.172,,,,,icy
21,HD 155358,b,,270.0,,0.64,194.3,0.17,G0,,5900.0,0.92,gassy
22,HD 79498,b,,425.9,,3.13,1966.1,0.59,G5,,5740.0,1.06,gassy
23,CHXR 73,b,,3994.486,,210.0,,,M3.5,,,0.35,gassy
24,HD 13189,b,,4400.0,,1.85,471.6,0.27,,41.98,4184.4,,gassy
25,GJ 433,b,,5.79,,0.058,7.3709,0.08,M1.5,,3600.0,0.48,icy
26,HIP 5158,b,,457.6752,,0.89,345.63,0.54,,0.75,4813.0,0.78,gassy
27,alf Ari,b,,572.07,,1.2,380.8,0.25,,13.9,4553.0,1.5,gassy
28,Kepler-32,b,2.2,1303.0,,0.05,5.90124,,,0.53,3900.0,0.58,icy
29,tau Gem,b,,5752.48,,,305.0,,,28.72,4482.0,,gassy
30,HD 62509,b,,920.0,,1.69,589.7,0.06,,8.9,,1.7,gassy
31,Kepler-370,c,1.91,,,0.14,19.02293,,,0.9,5852.0,,rocky
32,Kepler-400,b,1.65,,,0.087,9.024389,,,1.15,5886.0,,rocky
33,Kepler-221,b,1.71,,,0.037,2.795906,,,0.82,5243.0,,rocky
34,Kepler-367,c,1.2,,,0.253,53.578637,,,0.69,4710.0,,rocky
35,Kepler-393,c,1.33,,,0.124,14.613612,,,1.38,6189.0,,rocky
36,Kepler-304,c,2.17,,,0.054,5.315946,,,0.69,4731.0,,rocky
37,Kepler-360,b,1.65,,,0.044,3.289672,,,1.06,6053.0,,rocky
38,Kepler-101,c,1.33,,,0.068,6.029809,,,1.67,5570.0,,rocky
39,Kepler-243,c,1.99,,,0.142,20.026218,,,0.84,5228.0,,rocky
40,Kepler-261,c,2.0,,,0.156,24.570858,,,0.79,5098.0,,rocky
41,Kepler-327,d,1.73,,,0.09,13.969457,,,0.49,3799.0,,rocky
42,Kepler-136,b,2.05,,,0.106,11.5789,,,1.35,6165.0,,rocky
43,Kepler-122,d,2.2,,,0.155,21.587475,,,1.22,6050.0,,icy
44,Kepler-157,c,2.24,,,0.11,13.5405,,,1.04,5774.0,,icy
45,Kepler-147,c,2.43,,,0.216,33.416423,,,1.47,6012.0,,icy
46,Kepler-239,b,2.33,,,0.095,11.763051,,,0.76,4914.0,,icy
47,Kepler-200,b,2.13,,,0.08,8.594805,,,0.94,5678.0,,rocky
48,Kepler-243,b,2.45,,,0.062,5.715442,,,0.84,5228.0,,icy
49,Kepler-160,c,3.61,,,0.109,13.699087,,,0.88,5857.0,,icy
50,Kepler-210,c,3.62,,,0.07,7.972513,,,0.65,4559.0,,icy
51,Kepler-254,b,3.87,,,0.064,5.826662,,,0.91,5957.0,,icy
52,Kepler-172,c,2.86,,,0.068,6.388996,,,1.08,5526.0,,icy
53,Kepler-299,c,2.65,,,0.07,6.885875,,,1.03,5617.0,,icy
54,Kepler-278,c,3.59,,,0.294,51.078775,,,2.94,4991.0,,icy
55,Kepler-339,d,1.17,,,0.091,10.558345,,,0.8,5631.0,,rocky
56,Kepler-397,b,2.46,,,0.144,22.250949,,,0.77,5307.0,,icy
57,Kepler-399,b,0.96,,,0.103,14.425281,,,0.68,5502.0,,rocky
58,HD 219415,b,,317.83,,3.2,2093.3,0.4,K0 III,2.9,4820.0,1.0,gassy
59,Pr0201,b,,171.6282,,,4.4264,0.0,,1.17,6174.0,1.23,gassy
60,eps Tau,b,,2415.406,,1.93,594.9,0.151,,13.7,4901.0,2.7,gassy
61,HD 207832,b,,177.9848,,0.57,161.97,0.13,,0.9,5710.0,0.94,gassy
62,HD 207832,c,,232.0159,,2.112,1155.7,0.27,,0.9,5710.0,0.94,gassy
63,nu Oph,c,,8581.41,,6.1,3186.0,0.165,,15.1,4928.0,3.04,gassy
64,HD 5608,b,,444.962,,1.9,792.6,0.19,,5.5,4854.0,1.55,gassy
65,WASP-176,b,16.87,271.74465,0.31,0.0535,3.899052,0.0,F9,1.93,5941.0,1.34,gassy
66,WASP-16,b,13.653,264.43456,0.572,0.0415,3.1186068,,,1.09,5630.0,0.98,gassy
67,KELT-8,b,,,,,3.2440796,,,1.39,5703.0,1.02,?
68,XO-6,b,23.203,1398.452,0.62,0.0815,3.7650007,0.0,F5,1.93,6720.0,1.47,gassy
69,XO-1,b,,,,,3.941505,,,,,,?
70,WASP-19,b,,,,,,,,1.03,5503.0,0.97,?
71,HD 159868,b,,667.41,,2.25,1178.4,0.01,G5 V,,5558.0,1.09,gassy
72,HATS-4,b,12.908,,,,2.51672572,,,0.98,5403.0,,gassy
73,WASP-167,b,18.407,,,,2.02189784,,,1.94,7000.0,,gassy
74,WASP-78,b,21.633,352.7913,,,2.17518,0.0,,2.46,6100.0,1.87,gassy
75,Kepler-486,b,11.131,,,,30.3641057,,,0.8,4815.0,,gassy
76,HAT-P-12,b,10.749,66.23577,0.296,0.03838,3.21305929,0.035,,0.7,4650.0,0.73,gassy
77,HAT-P-12,b,,,,,3.21305751,,K4,0.7,4650.0,0.73,?
78,HAT-P-27,b,,,,,3.0395802,,,,,,?
79,HAT-P-33,b,,206.5895,,,,0.13,,,,1.38,gassy
80,WASP-50,b,13.675,524.4195,,,1.9551,0.01,,0.89,5400.0,1.06,gassy
81,XO-3,b,,3861.6345,,,,0.2833,,,,1.21,gassy
82,HAT-P-56,b,,,,,2.790833,,,,6568.0,,?
83,7 CMa,b,,826.3,,1.9,763.0,0.14,K1 III,2.3,4792.0,1.52,gassy
84,WASP-15,b,,,,,3.7520998,,,1.48,6300.0,1.18,?
85,HAT-P-11,b,4.36,23.4,,0.05254,4.88780244,0.218,,0.68,4780.0,0.81,icy
86,HAT-P-25,b,12.722,180.84527,0.483,0.0466,3.65281514,0.023,,0.92,5519.0,1.01,gassy
87,WASP-25,b,,,,,3.76483312,,,,,,?
88,WASP-144,b,,,,,2.2783153,,K2 V,0.81,5200.0,0.81,?
89,WASP-21,b,,,,,4.3225126,,,1.35,5924.0,1.08,?
90,HAT-P-6,b,,351.83781,,,,0.023,,,,1.29,gassy
91,HATS-55,b,,,,,4.2042001,,,1.13,6214.0,1.2,?
92,WASP-75,b,,,,,2.4841987,,F9,1.26,6100.0,1.14,?
93,WASP-2,b,11.999,,,,2.15216302,,,0.85,5147.0,,gassy
94,KOI-12,b,14.63,,,0.1463,17.8552197,0.0,,1.52,6635.0,1.31,gassy
95,HATS-41,b,,,,,4.193649,,,1.71,6424.0,1.5,?
96,Kepler-12,b,18.999,137.62039,0.11,0.05563,4.4379637,0.021,,1.48,5950.0,1.17,gassy
97,WASP-60,b,,,,,4.305003,,,,,,?
98,HAT-P-67,b,23.361,,,,4.8101507,,,2.65,6417.0,,gassy
99,Kepler-731,b,13.75,,,0.0505,3.85560355,0.0,,1.05,6028.0,1.15,gassy
100,HAT-P-54,b,10.581,578.4506,2.7,0.04122,3.799847,0.66,,0.62,4390.0,0.65,gassy
101,WASP-101,b,15.805,157.96151,0.219,0.05057,3.585722,0.068,,1.29,6380.0,1.34,gassy
102,WASP-82,b,18.159,371.8611,,,2.70579,0.0,,2.1,6480.0,1.48,gassy
103,HAT-P-56,b,16.72,,,,2.790862,,,1.44,,,gassy
104,55 Cnc,d,,1226.77,,5.446,4867.0,0.0269,,0.96,5250.0,0.9,gassy
105,KELT-11,b,,,,,4.73620495,,,2.79,5326.0,,?
